Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google translate ,MT2 = Microsoft Bing translator
Text 2,s1,One thing that journalism teaches you over the years is that events or incidents are rarely important in themselves.,چیزی که روزنامه‌نگاری در گذر سالیان به شما می‌آموزد این است که رویدادها یا حوادث به خودی خود به ندرت دارای اهمیت هستند. ,چیزی که روزنامه‌نگاری در طی سال‌ها به شما یاد می‌دهد این است که اتفاقات یا حوادث به ندرد به خودی خود دارای اهمیت هستند. ,یکی از چیزهایی که روزنامه نگاری در طول سال ها به شما می آموزد این است که رویدادهای یا حادثه ها به ندرت در خود اهمیت دارند.,چیزی که روزنامه نگاری در طول سال ها به شما می آموزد این است که رویدادها یا حوادث به خودی خود به ندرت مهم هستند.,یک چیزی که روزنامه نگاری در طول سال ها به شما یاد می دهد این است که اتفاقات یا حوادث به ندرت در خود مهم هستند.
Text 2,s2,It is when they fit in with general assumptions and trends that they take on meaning.,"تنها زمانی که با مفروضات و روندهای کلی مطابقت
 داشته باشند معنا پیدا می‌کنند. ",زمانی معنی پیدا می‌کنند که با فرضیات عمومی و جریانات همسو می‌شوند. ,"هنگامی که آنها با فرضیه ها و روند های عمومی مطابقت دارند، به معنی می گیرند.",زمانی است که آنها با مفروضات و روندهای کلی مطابقت داشته باشند که معنا پیدا می کنند.,زمانی است که با فرضیات و روندهای کلی جا می شوند که معنا را به خود می گیرد.
Text 2,s3,Globalisation is fine for the financier but it doesn't feel so good to the farmer wiped out by lower-cost imports or the worker whose job has just been replaced by an operation in Bangalore.,"جهانی شدن برای سرمایه‌گذار خوب است، اما برای کشاورزی که با واردات کالاهای ارزانتر از چرخه رقابت حذف می‌شود یا کارگری که شغلش به تازگی با کارخانه‌ای در بنگلور هند سپرده شده است، چندان خوش‌آیند نیست.","جهانی شدن برای سرمایه‌گذار خوب است اما برای کشاورزی که شغلش با واردات ارزان از بین می‌رود یا کارگری که کارخانه‌ای در بنگ لر  جایش را گرفته است، حس خوبی ندارد. ","جهانی شدن برای سرمایه گذاران خوب است، اما برای کشاورزان که توسط واردات ارزان تر از بین رفته اند یا کارگران که شغل خود را به تازگی با یک عملیات در بانگالور جایگزین کرده اند، خیلی خوب نیست.","جهانی شدن برای سرمایه‌دار خوب است، اما برای کشاورز که با واردات کم‌هزینه از بین می‌رود یا کارگری که شغلش به تازگی با عملیاتی در بنگلور جایگزین شده است، احساس خوبی ندارد.",جهانی شدن برای متمول خوب است اما آن را احساس نمی کند تا خوب به کشاورز محو شده توسط واردات با هزینه پایین تر و یا کارگر که کار خود را به تازگی با یک عملیات در بنگلور جایگزین شده است.
Text 2,s4,And the same is happening to China now.,و همین مسئله اکنون در چین در حال رخ‌دادن است. ,همین موضوع الان اکنون در چین اتفاق می‌افتد. ,در حال حاضر در چین هم همین اتفاق می افتد.,و همین الان برای چین هم اتفاق می افتد.,و همین اتفاق برای چین در حال حاضر رخ می دهد.
Text 2,s5,"Much though its critics may wish China to fall at this hurdle by a string of scandals about its products, it has to be said that it is unlikely to happen.","اگر چه منتقدان چین ممکن است آرزو کنند این کشور با یک رشته رسوایی مربوط به محصولاتش پایش به این مانع گرفته و سقوط کند، اما باید گفت بعید است این اتفاق بیافتد. ","اگرچه منتقدان ممکن است دلشان بخواهد که چین با رشته رسوایی‌ها درباره محصولاتش به دردسر بیفتد و سقوط کند، باید گفت  احتمال اینکه چنین اتفاقی بیفتد خیلی کم است. ","اگر چه انتقادکنندگان می خواهند که چین به دلیل مجموعه ای از اسطوره های مربوط به محصولاتش در این مواردی سقوط کند، باید بگوییم که این اتفاق احتمالاً نخواهد افتاد.","اگرچه ممکن است منتقدان آن آرزو داشته باشند که چین با یک رشته رسوایی در مورد محصولاتش در این مانع قرار گیرد، اما باید گفت که بعید است این اتفاق بیفتد.","اگرچه منتقدان آن ممکن است مایل باشند چین با رشته ای از رسوایی ها در مورد محصولاتش در این مانع سقوط کند، اما باید گفت که بعید است اتفاق بیفتد."
Text 2,s6,"The rush of bad news may slow the rise in consumer demand temporarily and even persuade some retail companies to have second thoughts about sourcing in Asia, but on the wider stage it will do little to stop China's manufacturing growth.","هجوم اخبار بد ممکن است افزایش تقاضای مصرف‌کنندگان را موقتاً کند نماید و حتی برخی شرکت‌های خرده‌فروشی را متقاعد کند در مورد تأمین منابع در آسیا تجدیدنظر کنند، اما در مرحله گسترده‌تر، مانع رشد تولید چین نخواهد شد. ","موج خبرهای بد ممکن است روند رشد تقاضای مشتری را موقتا آهسته کند یا حتی بعضی از شرکت‌های خرده فروشی را به این فکر بیندازد که به دنبال منبعی جایگزین در آسیا باشند، اما در ابعاد وسیعتر، تاثیر ناچیزی در رشد تولید چین دارد. ","سرانجام خبرهای بد ممکن است به طور موقت افزایش تقاضای مصرف کننده را متوقف کند و حتی برخی از شرکت های خرده فروشی را متقاعد کند تا در مورد خرید در آسیا فکر دوم کنند، اما در مرحله گسترده تر، این کار برای متوقف کردن رشد صنعت تولید چین بسیار کم خواهد بود.","هجوم اخبار بد ممکن است رشد تقاضای مصرف کننده را به طور موقت کند کند و حتی برخی از شرکت های خرده فروشی را متقاعد کند که در مورد منبع یابی در آسیا فکر دومی داشته باشند، اما در مرحله گسترده تر، مانع رشد تولید چین نمی شود.","عجله اخبار بد ممکن است افزایش تقاضای مصرف کننده را به طور موقت کند کند و حتی برخی از شرکت های خرده فروشی را متقاعد کند که افکار دوم در مورد منابع در آسیا داشته باشند، اما در مرحله گسترده تر برای متوقف کردن رشد تولیدی چین کار چندانی نخواهد کرد."
Text 2,s7,"The West goes there particularly for clothing and toys, but go round Asia and every store is full of Chinese-made white goods.","غرب به خصوص برای پوشاک و اسباب‌بازی به سراغ چین می‌رود، اما اگر چرخی در کشورهای آسیایی بزنید خواهید دید هر فروشگاهی مملو از وسائل خانگی بزرگ ساخت چین است. ","غرب بخصوص برای تهیه لباس و أسباب‌ بازی به سراغ چین می‌رود، اما اگر دوری در آسیا بزنید می‌بینید که در  مغازه پر است از محصولات خانگی الکتریکی تولید چین. ","غرب به طور خاص برای لباس ها و اسباب بازی ها می رود، اما به اطراف آسیا بروید و هر فروشگاه پر از محصولات سفید چینی است.","غرب به خصوص برای پوشاک و اسباب بازی به آنجا می رود، اما به دور آسیا بروید و همه فروشگاه ها پر از کالاهای سفید ساخت چین است.","غرب به ویژه برای لباس و اسباب بازی به آنجا می رود، اما به دور آسیا می رود و هر فروشگاهی پر از کالاهای سفید ساخت چین است."
Text 2,s8,As with Japan before it - and with similar single-minded determination - the country is moving upmarket.,مانند ژاپن در گذشته - و با عزم جزمی مشابه - این کشور در حال صعود در بازار است.,این کشور شبیه ژاپن در گذشته- و با همان عزم یکجانبه - دارد به سمت فروش کالاهای گران‌قیمت می‌رود. ,همانطور که با ژاپن قبل از آن - و با تصمیم گیری مشابه - این کشور در حال حرکت به بازار است.,مانند ژاپن قبل از آن - و با عزم یکجانبه مشابه - این کشور به سمت بازار صعودی حرکت می کند.,همانطور که با ژاپن قبل از آن -- و با عزم مشابه تک فکر -- این کشور در حال حرکت upmarket.
Text 2,s9,"Next will come cars, engines and aircraft."," خودروها، موتورها و هواپیماها در ادامه خواهند آمد.","پس از این نوبت ماشین، موتور و هواپیما است. ","بعد از آن ماشین ها، موتورها و هواپیماها خواهند آمد.","بعد خودروها، موتورها و هواپیماها خواهند آمد.","بعد ماشین ها، موتورها و هواپیماها خواهند آمد."
Text 3,s1,Researchers have discovered the hidden laboratory used by Leonardo da Vinci for studies of flight and other pioneering scientific work.,محققان آزمایشگاه پنهانی را کشف کردند که لئوناردو داوینچی برای مطالعه پرواز و سایر کارهای علمی پیشگام خود از آن استفاده می‌کرد. ,محققان آزمایشگاه پنهان را کشف کردند که لئوناردو داوینچی از آن برای مطالعه در مورد پرواز و دیگر کارهای علمی پیشرو استفاده می‌کرد. ,"محققان آزمایشگاه پنهانی را که لیوناردو د وینچی برای مطالعه پرواز و سایر کارهای علمی پیشرو استفاده کرده است، کشف کرده اند.",محققان آزمایشگاه پنهانی را کشف کردند که لئوناردو داوینچی برای مطالعات پرواز و سایر کارهای علمی پیشگام از آن استفاده می کرد.,محققان آزمایشگاه پنهان مورد استفاده لئوناردو داوینچی را برای مطالعات پرواز و دیگر کار علمی پیشگام کشف کرده اند.
Text 3,s2,"The workshop rooms, located between the Institute for Military Geography and the Basilica, contain frescos painted by Leonardo that have ""impressive resemblances"" to other examples of his experimental work.","اتاق‌های کارگاه که بین مؤسسه جغرافیای نظامی و کلیسای باسیلیکا واقع شده‌اند، حاوی نقاشی‌های دیواری کشیده‌شده توسط داوینچی هستند که با نمونه‌های دیگر کارهای تجربی او «شباهت‌های چشمگیری» دارند. ","اتاق‌های این کارگاه که میان موسسه جغرافیای نظامی و باسیلیکا قرار دارند، شامل نقاشی‌های دیواری کشیده شده توسط لئوناردو داوینچی هستند و «شباهت چشمگیری» به سایر کارهای تجربی او دارند.","اتاق های کارآموزی، که بین موسسه جغرافیای نظامی و باسیلیکا قرار دارد، پرچم هایی را که توسط لئوناردو نقاشی شده اند، که ""حالاً شبیه"" به سایر نمونه های کار تجربی او هستند، شامل می شوند.","اتاق‌های کارگاه، که بین مؤسسه جغرافیای نظامی و باسیلیکا واقع شده‌اند، حاوی نقاشی‌های دیواری نقاشی‌شده توسط لئوناردو هستند که «شباهت‌های چشمگیری» با نمونه‌های دیگر کارهای تجربی او دارند.","اتاق های کارگاه که بین مؤسسه جغرافیای نظامی و کلیسای قرار دارد، حاوی فرسکوهای نقاشی شده توسط لئوناردو است که «شباهت های چشمگیری» به نمونه های دیگر کار تجربی او دارند."
Text 3,s3,"Leonardo's use of the rooms was referred to in letters written by Pietro di Novellara and they were cited by Giorgio Vasari in his 16th-century biography, Lives of the Artists.","استفاده داوینچی از اتاق‌ها در نامه‌هایی نگاشته‌شده توسط پیترو دی‌نوولارا و جورجیو واساری در زندگی‌نامه قرن شانزدهم وی، «زندگی هنرمندان»، ذکر شده است.","در نامه‌های نوشته شده توسط پیترو دی نوولارا به استفاده لئوناردو از این اتاق‌ها اشاره شده است، همچنین جورجیو واساری در زندگی‌نامه‌اش در قرن شانزدهم به عنوان زندگی هنرمندان این اتاق‌ها را ذکر کرده است.","استفاده لیوناردو از اتاق ها در نامه های نوشته شده توسط Pietro di Novellara اشاره شد و آنها توسط Giorgio Vasari در بیوگرافی او از قرن ۱۶، زندگی هنرمندان اشاره شد.","استفاده لئوناردو از اتاق ها در نامه های نوشته شده توسط پیترو دی نوولارا و توسط جورجیو وازاری در زندگی نامه قرن شانزدهم خود، زندگی هنرمندان، ذکر شده است.",استفاده لئوناردو از اتاق ها در نامه هایی که پیترو دی نولارا نوشته بود به آن ها اشاره شد و آن ها توسط جورجو واساری در زندگی نامه قرن ۱۶ او به نام زندگی هنرمندان مورد استناد قرار گرفت.
Text 3,s4,"""The finds are particularly interesting as they will help us to understand the context in which Leonardo was working in these rooms exactly 500 years ago,"" said Professor Alessandro Vezzosi, a Leonardo scholar.","پروفسور الساندرو وزوسی، یک پژوهشگر داوینچی، می‌گوید: «این یافته‌ها به شکلی ویژه‌ای جالب هستند، زیرا به ما کمک می‌کنند تا شرایطی را که داوینچی در آن دقیقاً 500 سال پیش در این اتاق‌ها کار می‌کرده است، درک کنیم. ",,"این یافته ها به ویژه جالب است زیرا به ما کمک می کند تا زمینه ای را درک کنیم که در آن لیوناردو دقیقاً 500 سال پیش در این اتاق ها کار می کرد, گفت استاد آلاساندرو ویزوزی، دانشمند لیوناردو.","پروفسور الساندرو وزوسی، محقق لئوناردو، گفت: «این یافته‌ها به‌ویژه جالب هستند زیرا به ما کمک می‌کنند تا زمینه‌ای را که لئوناردو دقیقاً 500 سال پیش در این اتاق‌ها کار می‌کرد، درک کنیم.","پروفسور آلساندرو وزوزی، دانشمند لئوناردو می گوید: «یافته ها به ویژه جالب است چرا که به ما کمک خواهند کرد تا زمینه ای را که لئوناردو دقیقاً ۵۰۰ سال پیش در این اتاق ها کار می کرد، درک کنیم.»"
Text 3,s5,"The Tuscan-born scientist, painter, philosopher and poet was aged 51 when he returned to Florence in 1503 after many years in Milan, where he already had established his reputation, and a period of extended travel.","دانشمند، نقاش، فیلسوف و شاعر متولد منطقه توسکانی 51 ساله بود که پس از سال‌ها اقامت در میلان، جایی که قبلاً شهرت خود را تثبیت کرده بود، و پس از یک دوره سفر طولانی‌مدت، در سال 1503 به فلورانس بازگشت. ","این دانشمند، نقاش، فیلسوف و شاعر متولد توسکانی در سال ۱۵۰۳  وقتی که پنجاه و یک ساله بود بعد از چندین سال زندگی در میلان، جایی که پیش از آن به شهرت رسیده بود، و بعد از یک دوره سفر طولانی به فلورانس برگشت.","دانشمند، نقاشی، فلسفه و شاعری متولد از توسکو در سال 1503 در سن 51 سالگی به فلورنس بازگشت پس از سال های زیادی در میلان، جایی که او در حال حاضر شهرت خود را ایجاد کرده است، و یک دوره از سفرهای طولانی.","دانشمند، نقاش، فیلسوف و شاعر متولد توسکانی 51 ساله بود که پس از سالها اقامت در میلان در سال 1503 به فلورانس بازگشت، جایی که قبلاً شهرت خود را تثبیت کرده بود، و یک دوره سفر طولانی مدت.","دانشمند، نقاش، فیلسوف و شاعر متولد توسکان ۵۱ ساله بود که در سال ۱۵۰۳ پس از سال ها اقامت در میلان به فلورانس بازگشت و پیش از این شهرت خود را تثبیت کرده بود، و دوره ای از سفرهای گسترده."
Text 3,s6,His first spell in Florence came when he was 17 and became a member of the painters' guild.,اولین دوره اقامت او در فلورانس در سن 17 سالگی و زمانی بود که به عضویت انجمن نقاشان درآمد. ,اولین دوره‌ اقامت او در فلورانس زمانی بود که هفده سال داشت و به عضویت انجمن نقاشان درآمد.,اولین جادو او در فلورنس در سن 17 سالگی آمد و عضو گيلد نقاشیان شد.,اولین دوره او در فلورانس زمانی رخ داد که 17 ساله بود و به عضویت انجمن نقاشان درآمد.,اولین طلسم او در فلورانس زمانی به وجود آمد که ۱۷ ساله بود و عضو انجمن صنفی نقاشان شد.
Text 3,s7,The rooms he took in the 16th century were in a religious house run by monks from the order of the Servi di Maria in a part of the monastery set aside for renting to lay people as guestrooms.,"اتاق‌هایی که او در قرن شانزدهم در آنها سکونت نمود، در یک خانه مذهبی واقع بود که توسط راهبانی از طبقه‌ى «سروی دی‌ماریا» (خدام مریم مقدس) در بخشی از صومعه که برای اجاره افراد عادی به عنوان اتاق مهمان در نظر گرفته شده بود، اداره می‌شد. ","اتاق‌هایی که در قرن شانزده در آن‌ها سکونت داشت در خانه‌ای مذهبی قرار داشتند که توسط راهبانی از  فرقه ""سروی دی ماریا"" اداره می‌شدند و در بخشی از صومعه قرار داشتند که برای اجاره به افراد عادی به عنوان مهمان در نظر گرفته شده بود. ","اتاق هایی که او در قرن 16 گرفته بود، در یک خانه مذهبی بود که توسط شهدا از فرمان Servi di Maria اداره می شد، در بخشی از معبد که برای اجاره به ملت ها به عنوان اتاق های مهمان قرار گرفته بود.","اتاق‌هایی که او در قرن شانزدهم گرفت، در یک خانه مذهبی بود که توسط راهبانی از دستور سروی دی ماریا در بخشی از صومعه اداره می‌شد که برای اجاره افراد عادی به عنوان اتاق مهمان در نظر گرفته شده بود.",اتاق هایی که او در قرن ۱۶ گرفت در یک خانه مذهبی بود که توسط راهبان به دستور سروی دی ماریا در بخشی از صومعه که برای اجاره برای گذاشتن مردم به عنوان مهمانخانه کنار گذاشته شده بود اداره می شد.
Text 3,s8,Other notable figures who would take accommodation in the same monastery later included Andrea del Sarto and Franciabigio.,"از دیگر چهره‌های برجسته‌ای که بعداً در همان صومعه اقامت گزیدند، می‌توان به آندره‌آ دل سارتو و فرانسیابیجیو اشاره نمود. ", آندرا دل سارتو و فرانسیابیجیو از جمله چهره‌های قابل توجه دیگری بودند که بعدها در این صومعه سکونت داشتند.,"دیگر شخصیت های قابل توجهی که بعداً در همان معبد اقامت می کردند، آندریا دلف سارتو و فرانسیبیگو بودند.","دیگر چهره‌های برجسته‌ای که بعداً در همان صومعه اقامت کردند، آندره‌آ دل سارتو و فرانسیابیجیو بودند.",از دیگر چهره های قابل توجه که بعداً در همان صومعه اقامت می کردند می توان به آندره دل سارتو و فرانسیابیجیو اشاره کرد.
Text 3,s9,Leonardo's second sojourn in Florence would last three years.,اقامت دوم داوینچی در فلورانس سه سال طول کشید.,دومین اقامت لئوناردو در فلورانس سه سال طول کشید. ,اقامت دوم لئوناردو در فلورنس سه سال طول می‌کشد.,اقامت دوم لئوناردو در فلورانس سه سال طول خواهد کشید.,دومین سوجورن لئوناردو در فلورانس سه سال به طول خواهد انجامید.
