Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Deepl,MT2 = GoogleTranslate
Text 2,s1,One thing that journalism teaches you over the years is that events or incidents are rarely important in themselves.,"S'il y a bien une chose à retenir du journalisme, c'est que les événements ou les incidents relatés ont rarement une quelconque importance, ",Le journalisme nous enseigne au fil des années que les événements ou les incidents sont rarement importants en eux-mêmes. ,Une chose que le journalisme vous enseigne au fil des ans est que les événements ou les incidents sont rarement importants en eux-mêmes.,Une chose que le journalisme vous apprend au fil des ans est que les événements ou les incidents sont rarement importants en eux-mêmes.,"Une chose que le journalisme vous enseigne au fil des ans, c'est que les événements ou les incidents sont rarement importants en eux-mêmes."
Text 2,s2,It is when they fit in with general assumptions and trends that they take on meaning.,et ne prennent un sens que lorsqu'ils s'inscrivent dans des suppositions et des tendances générales. ,C’est lorsqu’ils s’inscrivent dans des suppositions et des tendances générales qu’ils prennent sens. ,C’est lorsqu’ils s’inscrivent dans les hypothèses et les tendances générales qu’ils prennent du sens.,C'est lorsqu'ils s'inscrivent dans des hypothèses et des tendances générales qu'ils prennent un sens.,C'est lorsqu'ils s'inscrivent dans des hypothèses et tendances générales qu'ils prennent sens.
Text 2,s3,Globalisation is fine for the financier but it doesn't feel so good to the farmer wiped out by lower-cost imports or the worker whose job has just been replaced by an operation in Bangalore.,"Si la mondialisation est bénéfique au monde de la finance, elle l'est moins pour l'agriculture, impactée par les importations à moindre coût, ou pour les emplois remplacés par des opérations à Bangalore.",La mondialisation est bonne d’un point de vue financier mais semble moins appropriée pour un agriculteur anéanti par les  importations à faible coût ou pour l’ouvrier dont le travail vient d’être remplacé par des activités à Bangalore.,"La mondialisation va bien pour le financier, mais elle ne va pas bien pour l’agriculteur éliminé par les importations à moindre coût ou pour le travailleur dont le travail vient d’être remplacé par une opération à Bangalore.","La mondialisation est une bonne chose pour le financier, mais elle ne l'est pas pour l'agriculteur anéanti par des importations à moindre coût ou pour le travailleur dont l'emploi vient d'être remplacé par une opération à Bangalore.","La mondialisation, c'est bien pour le financier, mais moins pour l'agriculteur anéanti par des importations à moindre coût ou pour l'ouvrier dont l'emploi vient d'être remplacé par une opération à Bangalore."
Text 2,s4,And the same is happening to China now.,Et la Chine ne fait pas exception. ,Et la même chose se déroule en Chine en ce moment. ,Il en est de même pour la Chine aujourd’hui.,Et c'est la même chose qui se produit actuellement en Chine.,Et la même chose se passe en Chine maintenant.
Text 2,s5,"Much though its critics may wish China to fall at this hurdle by a string of scandals about its products, it has to be said that it is unlikely to happen.","Alors que certains détracteurs véhéments espèrent qu'une avalanche de scandales autour de ses produits manufacturés fasse fléchir l'empire du Milieu, force est de constater qu'un tel dénouement est peu probable. ","Bien que ses détracteurs souhaitent que la Chine tombe devant cet obstacle à cause d’une série de scandales concernant ses produits, il faut dire qu’il est peu probable que cela se produise.","Bien que ses critiques puissent souhaiter que la Chine tombe à cet obstacle par une série de scandales sur ses produits, il faut dire que cela est peu probable.","Bien que ses détracteurs puissent souhaiter que la Chine tombe à ce stade par une série de scandales concernant ses produits, force est de constater que cela a peu de chances de se produire.","Bien que ses détracteurs souhaitent que la Chine tombe devant cet obstacle par une série de scandales concernant ses produits, il faut dire qu'il est peu probable que cela se produise."
Text 2,s6,"The rush of bad news may slow the rise in consumer demand temporarily and even persuade some retail companies to have second thoughts about sourcing in Asia, but on the wider stage it will do little to stop China's manufacturing growth.","Ce déluge de mauvaises nouvelles pourrait ralentir temporairement la hausse de la demande, et même persuader certaines entreprises de vente au détail de reconsidérer leur décision de s'approvisionner en Asie.  Mais malheureusement, à plus grande échelle, il ne contribuera guère à freiner la croissance de l'industrie manufacturière chinoise. ","La multiplication des mauvaises nouvelles peut temporairement ralentir l’augmentation de la demande de biens de consommation et même persuader certaines entreprises de vente au détail de remettre en question l’établissement des sources d’approvisionnement en Asie, mais à plus grande échelle cela ne fera pas grand-chose pour arrêter la croissance du secteur manufacturier chinois. ","La précipitation des mauvaises nouvelles peut ralentir temporairement la hausse de la demande des consommateurs et même convaincre certaines sociétés de détail d'avoir une seconde pensée sur l'approvisionnement en Asie, mais à un niveau plus large, cela fera peu pour arrêter la croissance de la fabrication en Chine.","L'avalanche de mauvaises nouvelles pourrait ralentir temporairement la hausse de la demande des consommateurs et même persuader certaines entreprises de vente au détail de reconsidérer leur décision de s'approvisionner en Asie, mais à plus grande échelle, elle ne fera pas grand-chose pour arrêter la croissance de l'industrie manufacturière chinoise.","La ruée vers les mauvaises nouvelles pourrait ralentir temporairement la hausse de la demande des consommateurs et même persuader certaines entreprises de vente au détail de réfléchir à l'approvisionnement en Asie, mais sur une scène plus large, cela ne fera pas grand-chose pour arrêter la croissance de la fabrication en Chine."
Text 2,s7,"The West goes there particularly for clothing and toys, but go round Asia and every store is full of Chinese-made white goods.","Tandis que l'Occident s'y approvisionne surtout en vêtements et en jouets, dans le reste de l'Asie, ce sont plutôt les appareils électroménagers estampillés ""Made in China"" qui garnissent les rayons des magasins. ","L’Occident y va surtout pour les vêtements et les jouets, mais faites le tour de l’Asie et chaque magasin est rempli de produits blancs fabriqués en Chine. ","L’Occident y va certainement pour des vêtements et des jouets, mais tournez autour de l’Asie et chaque magasin est rempli de biens blancs fabriqués en Chine.","L'Occident s'y rend surtout pour les vêtements et les jouets, mais faites le tour de l'Asie et chaque magasin est rempli d'appareils électroménagers fabriqués en Chine.","L'Occident y va surtout pour les vêtements et les jouets, mais fait le tour de l'Asie et chaque magasin regorge d'électroménagers fabriqués en Chine."
Text 2,s8,As with Japan before it - and with similar single-minded determination - the country is moving upmarket.,Et tout comme le Japon avant lui – et avec la même détermination farouche – le pays monte en gamme. ,Comme pour le Japon avant lui- et avec la même détermination farouche- le pays monte en gamme.  ,Comme avec le Japon avant elle - et avec une détermination similaire à l'unanimité - le pays monte en hausse.,"Comme le Japon avant lui, et avec la même détermination, le pays monte en gamme.","Comme le Japon avant lui, et avec la même détermination, le pays monte en gamme."
Text 2,s9,"Next will come cars, engines and aircraft.","Et viendra bientôt le tour des voitures, des moteurs et des avions.","Ensuite viendront les voitures, les moteurs et les avions.","Ensuite, il y aura des voitures, des moteurs et des avions.","Suivront les voitures, les moteurs et les avions.","Viennent ensuite les voitures, les moteurs et les avions."
Text 3,s1,Researchers have discovered the hidden laboratory used by Leonardo da Vinci for studies of flight and other pioneering scientific work.,"Des chercheurs ont découvert le laboratoire caché de Léonard de Vinci, qui l'a vu réaliser ses études sur la machine volante et d'autres travaux pionniers. ",Des chercheurs ont découvert le laboratoire caché que Léonard de Vinci a utilisé pour étudier le vol aérien et effectuer d’autres travaux scientifiques révolutionnaires. ,Des chercheurs ont découvert le laboratoire caché utilisé par Leonardo da Vinci pour étudier le vol et d'autres travaux scientifiques pionniers.,Des chercheurs ont découvert le laboratoire caché utilisé par Léonard de Vinci pour des études sur le vol et d'autres travaux scientifiques pionniers.,Des chercheurs ont découvert le laboratoire caché utilisé par Léonard de Vinci pour des études de vol et d'autres travaux scientifiques pionniers.
Text 3,s2,"The workshop rooms, located between the Institute for Military Geography and the Basilica, contain frescos painted by Leonardo that have ""impressive resemblances"" to other examples of his experimental work.","Les ateliers, situés entre l'Institut de géographie militaire et la basilique, sont ornés de fresques peintes par le génie et présentant des ""ressemblances impressionnantes"" avec d'autres exemples de son travail expérimental. ","Les salles de l’atelier situées entre l’Institut géographique militaire et la basilique contiennent des fresques peintes par Léonard qui présentent des ""ressemblances impressionnantes"" avec d’autres exemples de son travail expérimental. ","Les salles d’atelier, situées entre l’Institut de géographie militaire et la basilique, contiennent des fresques peintes par Léonard qui ont des ""ressemblances impressionnantes"" avec d’autres exemples de son travail expérimental.","Les salles de l'atelier, situées entre l'Institut de géographie militaire et la basilique, contiennent des fresques peintes par Léonard qui présentent des ""ressemblances impressionnantes"" avec d'autres exemples de son travail expérimental.","Les salles de l'atelier, situées entre l'Institut de géographie militaire et la basilique, contiennent des fresques peintes par Léonard qui présentent des ""ressemblances impressionnantes"" avec d'autres exemples de son travail expérimental."
Text 3,s3,"Leonardo's use of the rooms was referred to in letters written by Pietro di Novellara and they were cited by Giorgio Vasari in his 16th-century biography, Lives of the Artists.","L'utilisation de ces pièces par de Vinci est mentionnée dans des lettres de Pietro di Novellara, elles-mêmes citées dans ""Vies des artistes"", la biographie de Giorgio Vasari rédigée au XVIe siècle.","L’utilisation qu’a fait Léonard de ces salles est mentionnée dans des lettres écrites par Pietro di Novellara et elles ont été citées par Giorgio Vasari dans sa biographie du XVIe siècle, Lives of the Artists. ","L'usage de Leonardo des chambres a été mentionné dans des lettres écrites par Pietro di Novellara et elles ont été citées par Giorgio Vasari dans sa biographie du XVIe siècle, Lives of the Artists.","L'utilisation de ces pièces par Léonard était mentionnée dans des lettres écrites par Pietro di Novellara et elles étaient citées par Giorgio Vasari dans sa biographie du XVIe siècle, Vies des artistes.","L'utilisation des chambres par Léonard a été mentionnée dans des lettres écrites par Pietro di Novellara et elles ont été citées par Giorgio Vasari dans sa biographie du XVIe siècle, Lives of the Artists."
Text 3,s4,"""The finds are particularly interesting as they will help us to understand the context in which Leonardo was working in these rooms exactly 500 years ago,"" said Professor Alessandro Vezzosi, a Leonardo scholar.","""Ces découvertes sont particulièrement intéressantes car elles nous permettent de comprendre le contexte dans lequel Léonard travaillait dans ces pièces il y a tout juste un demi-siècle"", déclare le professeur Alessandro Vezzosi, spécialiste de Léonard de Vinci. ","""Les découvertes sont particulièrement intéressantes parce qu’elles nous permettront de comprendre le contexte dans lequel Léonard travaillait dans ces ateliers il y a exactement 500 ans"", a déclaré le professeur Alessandro Vezzosi, spécialiste de Léonard. ","""Les résultats sont particulièrement intéressants car ils nous aideront à comprendre le contexte dans lequel Leonardo travaillait dans ces salles il y a exactement 500 ans"", a déclaré le professeur Alessandro Vezzosi, un savant de Leonardo.","Ces découvertes sont particulièrement intéressantes car elles nous aideront à comprendre le contexte dans lequel Léonard travaillait dans ces pièces il y a exactement 500 ans, a déclaré le professeur Alessandro Vezzosi, spécialiste de Léonard.","Les découvertes sont particulièrement intéressantes car elles nous aideront à comprendre le contexte dans lequel Leonardo travaillait dans ces salles il y a exactement 500 ans, a déclaré le professeur Alessandro Vezzosi, spécialiste de Leonardo."
Text 3,s5,"The Tuscan-born scientist, painter, philosopher and poet was aged 51 when he returned to Florence in 1503 after many years in Milan, where he already had established his reputation, and a period of extended travel.","Le scientifique, peintre, philosophe et poète toscan a 51 ans lorsqu'il revient à Florence en 1503, après une longue période de voyages et de nombreuses années passées à Milan, où sa réputation n'est déjà plus à faire. ","Le scientifique, peintre, philosophe et poète d’origine toscane était âgé de 51 ans lorsqu’il revint à Florence en 1503 après de nombreuses années passées à Milan où il avait déjà établi sa réputation et après une longue période de voyages. ","Le scientifique, peintre, philosophe et poète de Toscane était âgé de 51 ans quand il est revenu à Florence en 1503 après de nombreuses années à Milan, où il avait déjà établi sa réputation, et une période de longs voyages.","Le scientifique, peintre, philosophe et poète d'origine toscane avait 51 ans lorsqu'il revint à Florence en 1503, après de nombreuses années passées à Milan, où il avait déjà établi sa réputation, et une période de voyages prolongés.","Le scientifique, peintre, philosophe et poète d'origine toscane était âgé de 51 ans lorsqu'il revint à Florence en 1503 après de nombreuses années à Milan, où il avait déjà établi sa réputation, et une longue période de voyages."
Text 3,s6,His first spell in Florence came when he was 17 and became a member of the painters' guild.,"Il n'a que 17 ans lors de son premier séjour à Florence, où il devient membre de la guilde des peintres. ",Son premier passage à Florence eut lieu lorsqu’il avait 17 ans et il devint membre de la guilde des peintres. ,Son premier charme à Florence est venu à l'âge de 17 ans et est devenu membre de la guilde des peintres.,"Son premier séjour à Florence remonte à l'âge de 17 ans, lorsqu'il est devenu membre de la guilde des peintres.",Son premier passage à Florence a eu lieu à l'âge de 17 ans et est devenu membre de la guilde des peintres.
Text 3,s7,The rooms he took in the 16th century were in a religious house run by monks from the order of the Servi di Maria in a part of the monastery set aside for renting to lay people as guestrooms.,Les chambres qu'il habite au XVIe siècle se trouvent dans une maison religieuse dirigée par des moines de l'ordre des Servi di Maria. Elles sont situées dans une partie du monastère réservée à la location de chambres d'hôtes à des laïcs. ,Les ateliers qu’il a occupé au XVIe siècle se trouvaient dans une maison religieuse dirigée par des moines de l’ordre des Servi di Maria dans une partie du monastère réservée à la location sous forme de chambres d’hôte à des laïcs. ,Les chambres qu'il a prises au XVIe siècle étaient dans une maison religieuse dirigée par des moines de l'ordre des Servi di Maria dans une partie du monastère mis à part pour louer aux laïcs comme chambres d'hôtes.,"Les chambres qu'il prend au XVIe siècle se trouvent dans une maison religieuse tenue par des moines de l'ordre des Servi di Maria, dans une partie du monastère réservée à la location de chambres d'hôtes à des laïcs.",Les chambres qu'il prit au XVIe siècle se trouvaient dans une maison religieuse tenue par des moines de l'ordre des Servi di Maria dans une partie du monastère réservée à la location aux laïcs comme chambres d'hôtes.
Text 3,s8,Other notable figures who would take accommodation in the same monastery later included Andrea del Sarto and Franciabigio.,"D'autres personnalités logeront plus tard dans le même monastère, dont Andrea del Sarto et Franciabigio. ",D’autres personnalités importantes comme Andrea del Sarto et Franciabigio ont plus tard séjourné dans le même monastère.,D'autres figures notables qui prendraient l'hébergement dans le même monastère plus tard incluaient Andrea del Sarto et Franciabigio.,"Parmi les autres personnalités qui logeront plus tard dans le même monastère, citons Andrea del Sarto et Franciabigio.",Andrea del Sarto et Franciabigio sont d'autres personnages notables qui prendront plus tard un logement dans le même monastère.
Text 3,s9,Leonardo's second sojourn in Florence would last three years.,Le second séjour de Léonard de Vinci à Florence durera trois ans.,Le deuxième séjour de Léonard à Florence durera trois ans. ,Le deuxième séjour de Léonard à Florence durerait trois ans.,Le second séjour de Léonard à Florence durera trois ans.,Le second séjour de Léonard à Florence durera trois ans.
