Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = DeepL
Text 2,s5,"Much though its critics may wish China to fall at this hurdle by a string of scandals about its products, it has to be said that it is unlikely to happen.","Deși mulți dintre criticii săi și-ar dori sa vadă China împiedicându-se de acest obstacol ca urmare a unei serii de scandaluri legate de produsele sale, trebuie spus că este improbabil să se întâmple. ","Oricât de mult și-ar dori criticii săi ca China să cadă la acest obstacol, din cauza unui șir de scandaluri legate de produsele ei, trebuie să menționăm că asta e puțin probabil.","Deși criticii săi ar putea dori ca China să cadă în această barieră printr-o serie de scandaluri cu privire la produsele sale, trebuie spus că acest lucru este puțin probabil să se întâmple.","Deși criticii săi ar dori ca China să cadă în acest obstacol printr-un șir de scandaluri legate de produsele sale, trebuie spus că este puțin probabil să se întâmple.","Oricât de mult și-ar dori criticii săi ca China să cadă în acest obstacol printr-o serie de scandaluri legate de produsele sale, trebuie spus că este puțin probabil ca acest lucru să se întâmple."
Text 2,s6,"The rush of bad news may slow the rise in consumer demand temporarily and even persuade some retail companies to have second thoughts about sourcing in Asia, but on the wider stage it will do little to stop China's manufacturing growth.","Afluența de vești proaste poate să încetinească temporar cererea de consum și chiar să convingă câteva companii de retail să se gândească mai bine cu privire la furnizorii săi din Asia, dar dintr-o perspectivă mai largă, va însemna prea puțin pentru a opri creșterea producției chineze. ","Un șir de știri proaste ar putea încetini temporar creșterea în cererea consumatorilor sau chiar ar putea convinge unele companii de comerț cu amănuntul să aibă dubii referitor la outsource-ul în Asia, dar pe o scenă mai largă asta nu va opri creșterea producției chineze.","Vestea proastă poate încetini temporar creșterea cererii de consum și poate chiar convinge unele companii de vânzare cu amănuntul să se gândească în al doilea rând la achizițiile din Asia, dar, pe o scară mai largă, va face puțin pentru a opri creșterea producției din China.","Goana de vești proaste poate încetini temporar creșterea cererii consumatorilor și chiar poate convinge unele companii de retail să se gândească la aprovizionare în Asia, dar pe scena mai largă nu va face nimic pentru a opri creșterea producției din China.","Această avalanșă de vești proaste ar putea încetini temporar creșterea cererii de consum și chiar convinge unele companii de vânzare cu amănuntul să se răzgândească în legătură cu aprovizionarea din Asia, dar, pe o scenă mai largă, nu va face mare lucru pentru a opri creșterea producției din China."
Text 2,s7,"The West goes there particularly for clothing and toys, but go round Asia and every store is full of Chinese-made white goods.","Occidentul vrea de acolo în special îmbrăcăminte și jucării, dar dacă vă plimbați prin Asia, veți vedea că fiecare magazin este plin de electrocasnice fabricate în China. ","Vestul vine în China în special pentru haine și jucării, în toată Asia însă fiecare magazin e plin de produse electrocasnice făcute în China.","Occidentul merge acolo pentru haine și jucării, dar merge în jurul Asiei și fiecare magazin este plin de produse albe fabricate în China.","Occidentul merge acolo în special pentru îmbrăcăminte și jucării, dar ocolește Asia și fiecare magazin este plin de produse albe produse din China.","Occidentul se duce acolo în special pentru îmbrăcăminte și jucării, dar dacă mergeți prin Asia, fiecare magazin este plin de produse albe fabricate în China."
Text 2,s8,As with Japan before it - and with similar single-minded determination - the country is moving upmarket.,"La fel ca și Japonia înainte și cu o ambiție similară, țara se orientează spre piața produselor de top. ",Ca și Japonia înaintea ei - și cu o determinare similară - țara se îndreaptă către un nivel superior.,Ca și în cazul Japoniei dinaintea ei - și cu aceeași hotărâre unilaterală - țara se mișcă în sus.,La fel ca în cazul Japoniei de dinaintea ei - și cu o hotărâre unică - țara se mută la un nivel superior.,La fel ca Japonia - și cu o determinare similară - țara se îndreaptă către un nivel superior.
Text 2,s9,"Next will come cars, engines and aircraft.","Vor urma mașinile, motoarele și avioanele.","Vor urma mașinile, motoarele și avioanele.","Apoi vor veni mașinile, motoarele și avioanele.","Urmează mașinile, motoarele și avioanele.","Urmează mașinile, motoarele și avioanele."
Text 3,s1,Researchers have discovered the hidden laboratory used by Leonardo da Vinci for studies of flight and other pioneering scientific work.,Cercetătorii au descoperit laboratorul secret folosit de Leonardo da Vinci pentru studierea zborului și pentru alte lucrări științifice de pionierat. ,Cercetătorii au descoperit laboratorul ascuns folosit de Leonardo da Vinci pentru studiile zborului și alte lucrări științifice inovatoare.,Cercetătorii au descoperit laboratorul ascuns folosit de Leonardo da Vinci pentru studii de zbor și alte lucrări științifice de pionierat.,Cercetătorii au descoperit laboratorul ascuns folosit de Leonardo da Vinci pentru studii de zbor și alte lucrări științifice de pionierat.,Cercetătorii au descoperit laboratorul ascuns folosit de Leonardo da Vinci pentru a studia zborul și alte lucrări științifice de pionierat.
Text 3,s2,"The workshop rooms, located between the Institute for Military Geography and the Basilica, contain frescos painted by Leonardo that have ""impressive resemblances"" to other examples of his experimental work.","Încăperile atelierului aflat între biserică și Institutul de Geografie Militară sunt decorate cu fresce pictate de Leonardo, care se remarcă prin ""asemănări izbitoare"" cu alte lucrări experimentale ale sale. ","Camerele de lucru aflate între Institutul pentru Geografie Militară și Bazilica conțin fresce pictate de Leonardo, care au o ""asemănare impresionantă"" cu alte lucrări experimentale ale lui. ","Sala de ateliere, situată între Institutul de Geografie Militară și Basilica, conține fresce pictate de Leonardo care au ""similitudini impresionante"" cu alte exemple ale muncii sale experimentale.","Salile de atelier, situate intre Institutul de Geografie Militara si Bazilica, contin fresce pictate de Leonardo care au „asemanari impresionante” cu alte exemple ale operei sale experimentale.","Sălile atelierului, situate între Institutul de Geografie Militară și Bazilica, conțin fresce pictate de Leonardo care au ""asemănări impresionante"" cu alte exemple de lucrări experimentale ale acestuia."
Text 3,s3,"Leonardo's use of the rooms was referred to in letters written by Pietro di Novellara and they were cited by Giorgio Vasari in his 16th-century biography, Lives of the Artists.","Utilizarea respectivelor încăperi de către Leonardo a fost menționată în scrisorile lui Pietro di Novellara, citate de Giorgio Vasari în Vieţile artiștilor, biografia scrisă de acesta în secolul al XVI-lea.","Utilizarea acestor camere de către Leonardo a fost menționată în scrisorile scrise de Pietro di Novellara, și ele au fost citate de Giorgio Vasari în lucrarea sa biografică scrisă în secolul 16 ""Viețile artiștilor"".","Utilizarea de către Leonardo a camerelor a fost menționată în scrisorile scrise de Pietro di Novellara și au fost citate de Giorgio Vasari în biografia sa din secolul al XVI-lea, Lives of the Artists.","Utilizarea camerelor de către Leonardo a fost menționată în scrisorile scrise de Pietro di Novellara și au fost citate de Giorgio Vasari în biografia sa din secolul al XVI-lea, Viețile artiștilor.","Utilizarea camerelor de către Leonardo a fost menționată în scrisorile scrise de Pietro di Novellara, iar acestea au fost citate de Giorgio Vasari în biografia sa din secolul al XVI-lea, Viețile artiștilor."
Text 3,s4,"""The finds are particularly interesting as they will help us to understand the context in which Leonardo was working in these rooms exactly 500 years ago,"" said Professor Alessandro Vezzosi, a Leonardo scholar.","""Descoperirile sunt deosebit de interesante, deoarece ne vor ajuta să înțelegem contextul în care Leonardo lucra în aceste săli cu exact 500 de ani în urmă."", spune profesorul Alessandro Vezzosi, un specialist în opera lui Leonardo. ","""Descoperirile sunt îndeosebi interesante pentru că ele ne vor ajuta să înțelegem contextul în care lucra Leonardo în aceste camere 500 de ani în urmă"", a spus profesorul Alessandro Vezzosi, un cercetător al lui Leonardo.","„Constatările sunt deosebit de interesante, deoarece ne vor ajuta să înțelegem contextul în care Leonardo a lucrat în aceste camere cu exact 500 de ani în urmă”, a declarat profesorul Alessandro Vezzosi, un om de știință Leonardo.","„Descoperirile sunt deosebit de interesante, deoarece ne vor ajuta să înțelegem contextul în care Leonardo lucra în aceste încăperi în urmă cu exact 500 de ani”, a spus profesorul Alessandro Vezzosi, un savant Leonardo.","Descoperirile sunt deosebit de interesante, deoarece ne vor ajuta să înțelegem contextul în care Leonardo lucra în aceste încăperi cu exact 500 de ani în urmă, a declarat profesorul Alessandro Vezzosi, un cercetător al lui Leonardo."
Text 3,s5,"The Tuscan-born scientist, painter, philosopher and poet was aged 51 when he returned to Florence in 1503 after many years in Milan, where he already had established his reputation, and a period of extended travel.","Omul de știință, pictorul, filosoful și poetul născut în Toscana era în vârstă de 51 de ani pe când se întorcea în Florența, în 1503, după mulți ani petrecuţi în Milano, unde își făcuse deja o reputație, dar și după o perioadă îndelungată de călătorii. ","Omul de știință, pictorul, filosoful și poetul din Toscana era la vârsta de 51 de ani când s-a întors în Florența în anul 1503 după mulți ani petrecuți în Milano, unde el și-a creat deja o reputație, și după o perioadă lungă de călătorii.","Omul de știință, pictor, filosof și poet, născut în Toscana, avea 51 de ani când s-a întors la Florența în 1503 după mulți ani în Milano, unde și-a stabilit deja reputația și o perioadă de călătorie prelungită.","Omul de știință, pictor, filozof și poet născut în Toscana avea 51 de ani când s-a întors la Florența în 1503, după mulți ani petrecuți în Milano, unde își stabilise deja reputația și o perioadă de călătorie prelungită.","Omul de știință, pictorul, filosoful și poetul născut în Toscana avea 51 de ani când s-a întors la Florența în 1503, după mulți ani petrecuți la Milano, unde își stabilise deja reputația, și după o perioadă de călătorii îndelungate."
Text 3,s6,His first spell in Florence came when he was 17 and became a member of the painters' guild.,"Primul său stagiu în Florența fusese la vârsta de 17 ani, când devenea membru al breslei pictorilor. ","Prima sa perioadă de locuire în Franța a fost la 17 ani, când a devenit un membru al breslei pictorilor.",Primul său farmec în Florența a venit când avea 17 ani și a devenit membru al galei pictorilor.,Prima sa perioadă în Florența a avut loc când avea 17 ani și a devenit membru al breslei pictorilor.,Prima sa experiență la Florența a avut loc când avea 17 ani și a devenit membru al breslei pictorilor.
Text 3,s7,The rooms he took in the 16th century were in a religious house run by monks from the order of the Servi di Maria in a part of the monastery set aside for renting to lay people as guestrooms.,"Camerele pe care le ocupa la acel moment din secolul al XVI-lea se aflau într-o casă religioasă administrată de călugării din ordinul Servi di Maria, într-o parte a mănăstirii care servea pentru a fi închiriată persoanelor laice. ","Camerele în care locuia în secolul 16 erau într-o casă religioasă condusă de călugări, din ordinul Servi di Maria, într-o parte a mănăstirii rezervată pentru a fi închiriată mirenilor.",Camerele pe care le-a luat în secolul al XVI-lea erau într-o casă religioasă condusă de călugări din ordinul Servi di Maria într-o parte a mănăstirii pusă la o parte pentru închirierea laicilor ca camere de oaspeți.,"Camerele pe care le-a luat în secolul al XVI-lea se aflau într-o casă religioasă condusă de călugări din ordinul Servi di Maria, într-o parte a mănăstirii destinată închirierii mirenilor ca camere de oaspeți.","Camerele pe care le-a luat în secolul al XVI-lea se aflau într-o casă religioasă administrată de călugări din ordinul Servi di Maria, într-o parte a mănăstirii rezervată pentru a fi închiriată laicilor ca camere de oaspeți."
Text 3,s8,Other notable figures who would take accommodation in the same monastery later included Andrea del Sarto and Franciabigio.,"Alte figuri notabile, care au înnoptat ulterior în acea mănăstire, au fost Andrea del Sarto și Franciabigio. ",Alte figuri importante care s-au adăpostit ulterior în aceeași mănăstire sunt Andrea del Sarto și Franciabigio.,Alte figuri remarcabile care ar lua cazare în aceeași mănăstire mai târziu au inclus Andrea del Sarto și Franciabigio.,Alte figuri notabile care aveau să se cazeze în aceeași mănăstire mai târziu au inclus Andrea del Sarto și Franciabigio.,Printre alte figuri notabile care au fost găzduite mai târziu în aceeași mănăstire se numără Andrea del Sarto și Franciabigio.
Text 3,s9,Leonardo's second sojourn in Florence would last three years.,Cea de-a doua ședere a lui Leonardo în Florența a durat trei ani.,Al doilea sejur al lui Leonardo în Florența a durat trei ani.,Cea de-a doua ședere a lui Leonardo în Florența va dura trei ani.,A doua ședere a lui Leonardo la Florența avea să dureze trei ani.,Cel de-al doilea sejur al lui Leonardo la Florența va dura trei ani.
