Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = DeepL
Text 2,s1,One thing that journalism teaches you over the years is that events or incidents are rarely important in themselves.,"Wat journalistiek je met de jaren leert, is dat gebeurtenissen of incidenten op zichzelf zelden belangrijk zijn.",Een iets dat journalistiek je door de jaren heen leert is dat gebeurtenissen of incidenten op zich zelden belangrijk zijn.,"Een ding dat journalistiek je in de loop der jaren leert, is dat gebeurtenissen of incidenten zelden belangrijk zijn.","Een ding dat de journalistiek je door de jaren heen leert, is dat gebeurtenissen of incidenten op zich zelden belangrijk zijn.","Eén ding dat de journalistiek je door de jaren heen leert, is dat gebeurtenissen of incidenten op zichzelf zelden belangrijk zijn."
Text 2,s2,It is when they fit in with general assumptions and trends that they take on meaning.,Het is wanneer ze voortgaan op algemene veronderstellingen en trends dat ze van belang worden.,Ze krijgen pas betekenis als ze passen bij algemene veronderstellingen en trends.,Het is wanneer ze passen bij algemene veronderstellingen en trends dat ze betekenis nemen.,"Pas wanneer ze aansluiten bij algemene aannames en trends, krijgen ze betekenis.",Het is wanneer ze passen in algemene veronderstellingen en trends dat ze betekenis krijgen.
Text 2,s3,Globalisation is fine for the financier but it doesn't feel so good to the farmer wiped out by lower-cost imports or the worker whose job has just been replaced by an operation in Bangalore.,"Globalisering is goed voor de financierder, maar het is niet zo goed voor de landbouwer die tenondergaat aan de import tegen lage kosten of voor de arbeider die zijn werk verliest door een onderneming in Bangalore.","Globalisering is prima voor de financier, maar het is minder aangenaam voor de boer die van de kaart werd geveegd door goedkopere import of voor de arbeider die zijn werk verloor door een bedrijf in Bangalore.","Globalisering is goed voor de financier, maar het voelt niet zo goed voor de boer die is uitgeroeid door goedkope invoer of de arbeider wiens baan net is vervangen door een operatie in Bangalore.","Globalisering is prima voor de financier, maar het voelt niet zo goed voor de boer die is weggevaagd door goedkopere import of de arbeider wiens baan zojuist is vervangen door een operatie in Bangalore.","Globalisering is prima voor de financier, maar voelt niet zo goed voor de boer die wordt weggevaagd door goedkopere importen of de werknemer wiens baan net is vervangen door een operatie in Bangalore."
Text 2,s4,And the same is happening to China now.,En nu gebeurt hetzelfde in China.,En hetzelfde gebeurt nu met China.,Hetzelfde gebeurt nu met China.,En hetzelfde gebeurt nu met China.,En hetzelfde gebeurt nu met China.
Text 2,s5,"Much though its critics may wish China to fall at this hurdle by a string of scandals about its products, it has to be said that it is unlikely to happen.","Hoe graag de critici ook China zouden zien struikelen over een reeks schandalen, toch zal dit waarschijnlijk niet gebeuren.","Alhoewel de critici van China misschien zouden willen dat het land neergaat bij dit obstakel door een reeks schandalen over zijn producten, moet worden gezegd dat het onwaarschijnlijk is dat dat gebeurt.","Hoewel de critici van China misschien willen dat China in deze hindernis valt door een reeks schandalen over zijn producten, moet worden gezegd dat het onwaarschijnlijk is dat dit zal gebeuren.","Hoewel critici misschien willen dat China door een reeks schandalen over zijn producten op deze hindernis valt, moet worden gezegd dat het onwaarschijnlijk is dat dit zal gebeuren.","Hoezeer de critici ook wensen dat China bij deze horde valt door een reeks schandalen over zijn producten, het moet gezegd worden dat dit waarschijnlijk niet zal gebeuren."
Text 2,s6,"The rush of bad news may slow the rise in consumer demand temporarily and even persuade some retail companies to have second thoughts about sourcing in Asia, but on the wider stage it will do little to stop China's manufacturing growth.","Deze opwelling aan slecht nieuws kan de stijgende consumentenvraag wel tijdelijk doen dalen, maar ze zal nauwelijks bijdragen om China's productiegroei te stoppen.","De drukte van slecht nieuws zou de toenemende vraag van de consument tijdelijk kunnen vertragen en zelfs sommige retailbedrijven overtuigen om zich te bedenken over het inkopen van producten in Azië, maar op grotere schaal zal het weinig invloed hebben op het tegenhouden van China's groeiende productie.","De rush van slecht nieuws kan de stijging van de consumentenvraag tijdelijk vertragen en zelfs sommige retailbedrijven overtuigen om een tweede gedachte te hebben over sourcing in Azië, maar op een breder niveau zal het weinig doen om de groei van de Chinese productie te stoppen.","De golf van slecht nieuws kan de stijging van de consumentenvraag tijdelijk afremmen en sommige retailbedrijven er zelfs toe brengen om te twijfelen over inkoop in Azië, maar in bredere zin zal het weinig doen om de Chinese productiegroei te stoppen.","De stroom van slecht nieuws kan de stijging van de consumentenvraag tijdelijk afremmen en zelfs sommige detailhandelsbedrijven overhalen om nog eens na te denken over het betrekken van hun producten in Azië, maar in het algemeen zal het weinig doen om de groei van de Chinese industrie te stoppen."
Text 2,s7,"The West goes there particularly for clothing and toys, but go round Asia and every store is full of Chinese-made white goods.","Het Westen gaat daar vooral aankloppen voor kledij en speelgoed, maar loop in Azië rond en je ziet dat elke winkel vol ligt met huishoudelijke apparaten gefabriceerd in China.","Het Westen gaat er in het bijzonder heen voor kledij en speelgoed, maar ga rond in Azië en elke winkel is gevuld met witgoed dat in China geproduceerd is.","Het Westen gaat er zeker voor kleding en speelgoed, maar ga rond Azië en elke winkel is vol met Chinese witte goederen.","Het Westen gaat er vooral heen voor kleding en speelgoed, maar als je Azië rondreist, ligt elke winkel vol met witgoed van Chinese makelij.","Het Westen gaat er vooral heen voor kleding en speelgoed, maar ga rond in Azië en elke winkel staat vol met witgoed van Chinese makelij."
Text 2,s8,As with Japan before it - and with similar single-minded determination - the country is moving upmarket.,"Zoals Japan vroeger deed, met een gelijkaardige doelbewuste vastberadenheid, begeeft het land zich naar de handel van duurdere producten.","Net zoals Japan China voorging, en met een gelijkaardige vastberadenheid, richt het land zich op de wat betere klant.",Net als met Japan daarvoor - en met soortgelijke eenminded vastberadenheid - beweegt het land naar boven.,Net als met Japan ervoor - en met dezelfde vastberadenheid - beweegt het land zich naar de top van de markt.,Net als Japan voordien - en met dezelfde vastberadenheid - is het land bezig aan een opmars.
Text 2,s9,"Next will come cars, engines and aircraft.",Wat volgt zijn auto's en vliegtuigen.,"Vervolgens zijn auto's, motoren en vliegtuigen aan de beurt.","Vervolgens zullen er auto’s, motoren en vliegtuigen komen.","Vervolgens komen auto's, motoren en vliegtuigen.","Daarna komen auto's, motoren en vliegtuigen."
Text 3,s1,Researchers have discovered the hidden laboratory used by Leonardo da Vinci for studies of flight and other pioneering scientific work.,Onderzoekers hebben het verborgen laboratorium ontdekt dat Leonardo da Vinci gebruikte voor zijn onderzoek naar vluchten en ander baanbrekend wetenschappelijk werk.,Onderzoekers hebben het verborgen laboratorium ontdekt dat Leonardo da Vinci gebruikte voor onderzoek naar vliegkunst en ander baanbrekend wetenschappelijk werk.,Onderzoekers hebben het verborgen laboratorium ontdekt dat Leonardo da Vinci gebruikt voor studies van vlucht en andere baanbrekende wetenschappelijke werkzaamheden.,Onderzoekers hebben het verborgen laboratorium ontdekt dat Leonardo da Vinci gebruikte voor vluchtstudies en ander baanbrekend wetenschappelijk werk.,Onderzoekers hebben het verborgen laboratorium ontdekt dat Leonardo da Vinci gebruikte voor studies over vliegen en ander baanbrekend wetenschappelijk werk.
Text 3,s2,"The workshop rooms, located between the Institute for Military Geography and the Basilica, contain frescos painted by Leonardo that have ""impressive resemblances"" to other examples of his experimental work.","De werkkamers, tussen het Instituut voor Militaire Geografie en de basiliek, bevatten fresco's van Leonardo die ""indrukwekkende overeenkomsten"" vertonen met andere voorbeelden van zijn experimentele werk.","De atelierruimtes, gelegen tussen het Militair Geografisch Instituut en de Basilica, bevatten fresco's die door Leonardo zijn geschilderd en ""indrukwekkende gelijkenissen"" vertonen met andere voorbeelden van zijn experimenteel werk.","De workshops, gelegen tussen het Instituut voor Militaire Geografie en de Basiliek, bevatten fresco's geschilderd door Leonardo die ""indrukwekkende overeenkomsten"" hebben met andere voorbeelden van zijn experimentele werk.","De workshopruimtes, gelegen tussen het Instituut voor Militaire Geografie en de Basiliek, bevatten fresco's geschilderd door Leonardo die ""indrukwekkende gelijkenissen"" vertonen met andere voorbeelden van zijn experimentele werk.","De workshopruimtes, gelegen tussen het Instituut voor Militaire Geografie en de Basiliek, bevatten fresco's geschilderd door Leonardo die ""indrukwekkende gelijkenissen"" vertonen met andere voorbeelden van zijn experimenteel werk."
Text 3,s3,"Leonardo's use of the rooms was referred to in letters written by Pietro di Novellara and they were cited by Giorgio Vasari in his 16th-century biography, Lives of the Artists.",Er wordt verwezen naar Da Vinci's gebruik van de ruimtes in brieven van Piero da Novellata en Giorgio Vasari noemt ze ook in zijn zestiendeeeuwse biografie Leven van de kunstenaars.,"Leonardo's gebruik van de kamers werd beschreven in brieven geschreven door Pietro di Novellara. De brieven werden geciteerd door Giorgio Vasari in zijn 16de-eeuwse biografie, De levens van de grootste schilders, beeldhouwers en architecten.","Leonardo's gebruik van de kamers werd genoemd in brieven geschreven door Pietro di Novellara en ze werden geciteerd door Giorgio Vasari in zijn 16e-eeuwse biografie, Lives of the Artists.","Leonardo's gebruik van de kamers werd genoemd in brieven geschreven door Pietro di Novellara en ze werden geciteerd door Giorgio Vasari in zijn 16e-eeuwse biografie, Lives of the Artists.","Naar Leonardo's gebruik van de kamers werd verwezen in brieven van Pietro di Novellara en ze werden geciteerd door Giorgio Vasari in zijn 16e-eeuwse biografie, Lives of the Artists."
Text 3,s4,"""The finds are particularly interesting as they will help us to understand the context in which Leonardo was working in these rooms exactly 500 years ago,"" said Professor Alessandro Vezzosi, a Leonardo scholar.","""De vondst is erg interessant omdat ze ons zal helpen te begrijpen in welke context Leonardo precies vijfhonderd jaar geleden in die kamers werkte"", zegt professor Alessandro Vezzosi, die Leonardo bestudeert.","""De bevindingen zijn bijzonder interessant omdat ze ons zullen helpen om de context te begrijpen waarin Leonardo precies 500 jaar geleden in deze ruimtes werkte,"" zei professor Alessandro Vezzosi, een geleerde die gespecialiseerd is in Leonardo.","""De bevindingen zijn bijzonder interessant omdat ze ons zullen helpen de context waarin Leonardo precies 500 jaar geleden in deze kamers werkte te begrijpen,"" zei professor Alessandro Vezzosi, een geleerde van Leonardo.","De vondsten zijn bijzonder interessant omdat ze ons zullen helpen de context te begrijpen waarin Leonardo precies 500 jaar geleden in deze kamers werkte, zegt professor Alessandro Vezzosi, een Leonardo-geleerde.","De vondsten zijn bijzonder interessant omdat ze ons zullen helpen de context te begrijpen waarin Leonardo precies 500 jaar geleden in deze kamers werkte, zei professor Alessandro Vezzosi, een Leonardo-onderzoeker."
Text 3,s5,"The Tuscan-born scientist, painter, philosopher and poet was aged 51 when he returned to Florence in 1503 after many years in Milan, where he already had established his reputation, and a period of extended travel.","De Toscaanse wetenschapper, schilder, filosoof en dichter was 51 toen hij in 1503 terugkeerde naar Firenze.","De wetenschapper, schilder, filosoof en dichter, die in Toscane werd geboren, was 51 toen hij in 1503 na vele jaren in Milaan en een lange reisperiode terugkeerde naar Firenze, waar hij zijn reputatie al had gevestigd.","De Toscane-geboren wetenschapper, schilder, filosoof en dichter was 51 jaar oud toen hij terugkeerde naar Florence in 1503 na vele jaren in Milaan, waar hij al zijn reputatie had gevestigd, en een periode van lange reizen.","De in Toscane geboren wetenschapper, schilder, filosoof en dichter was 51 jaar oud toen hij in 1503 terugkeerde naar Florence na vele jaren in Milaan, waar hij zijn reputatie al gevestigd had, en een periode van lange reizen.","De in Toscane geboren wetenschapper, schilder, filosoof en dichter was 51 jaar oud toen hij in 1503 terugkeerde naar Florence, na vele jaren in Milaan, waar hij al een reputatie had opgebouwd, en een periode van lange reizen."
Text 3,s6,His first spell in Florence came when he was 17 and became a member of the painters' guild.,"Tijdens zijn eerste periode in Firenze, op zijn zeventiende, werd hij lid van de schildersgilde.",Zijn eerste periode in Firenze was toen hij 17 was en lid werd van de schildergilde.,Zijn eerste magie in Florence kwam toen hij 17 was en werd lid van de gilde van de schilders.,Zijn eerste betovering in Florence kwam toen hij 17 was en lid werd van het schildersgilde.,Zijn eerste periode in Florence kwam toen hij 17 was en lid werd van het schildersgilde.
Text 3,s7,The rooms he took in the 16th century were in a religious house run by monks from the order of the Servi di Maria in a part of the monastery set aside for renting to lay people as guestrooms.,"De ruimtes waarin hij in de zestiende eeuw werkte, lagen in een religieus huis dat geleid werd door monniken van de orde Servi di Maria in een deel van het klooster dat verhuurd werd als gastenverblijf.","De kamers die hij in de 16de eeuw betrok, waren in een religieus huis dat gerund werd door monniken van de orde van de Servi di Maria in een deel van het klooster dat bestemd was voor verhuur aan leken als gastenkamers.",De kamers die hij nam in de 16e eeuw waren in een religieus huis beheerd door monniken uit de orde van de Servi di Maria in een deel van het klooster gescheiden voor verhuur aan leken als gastenkamers.,"De kamers die hij in de 16e eeuw nam, bevonden zich in een religieus huis dat werd gerund door monniken van de orde van de Servi di Maria in een deel van het klooster dat gereserveerd was voor verhuur aan leken als gastenkamers.","De kamers die hij in de 16e eeuw nam, bevonden zich in een religieus huis van monniken van de orde van de Servi di Maria, in een deel van het klooster dat was gereserveerd voor verhuur aan leken als gastenkamers."
Text 3,s8,Other notable figures who would take accommodation in the same monastery later included Andrea del Sarto and Franciabigio.,Andere notabele figuren als Andrea del Sarto en Franciabigio namen later hun intrek in hetzelfde klooster.,Andere opmerkelijke figuren die later in hetzelfde klooster onderdak vonden waren onder anderen Andrea del Sarto en Franciabigio.,"Andere opmerkelijke figuren die later in hetzelfde klooster zouden verblijven, waren Andrea del Sarto en Franciabigio.","Andere opmerkelijke figuren die later in hetzelfde klooster zouden gaan wonen, waren onder meer Andrea del Sarto en Franciabigio.",Andere opmerkelijke figuren die later in hetzelfde klooster onderdak zouden vinden waren Andrea del Sarto en Franciabigio.
Text 3,s9,Leonardo's second sojourn in Florence would last three years.,Het tweede verblijf van de kunstenaar in Firenze zou drie jaar duren.,Leonardo's tweede verblijf in Firenze zou drie jaar duren.,Leonardo's tweede verblijf in Florence zou drie jaar duren.,Leonardo's tweede verblijf in Florence zou drie jaar duren.,Leonardo's tweede verblijf in Florence zou drie jaar duren.
