Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = DeepL
Text 2,s3,Globalisation is fine for the financier but it doesn't feel so good to the farmer wiped out by lower-cost imports or the worker whose job has just been replaced by an operation in Bangalore.,"Глобализация хороша для финансиста, но не для фермера, которого вытесняет дешевый импорт, и не для работника, которого заменила фирма из Бангалора.","Глобализация хороша для финансиста, но она не так приятна фермеру, разоренному более дешевым импортом, или рабочему, чья работа только что была заменена производством в Бангалоре.","Глобализация хорошо для финансиста, но это не так хорошо для фермера, уничтоженного дешевым импортом, или для рабочего, чья работа только что была заменена операцией в Бангалоре.","Глобализация хороша для финансиста, но не так хороша для фермера, разоренного более дешевым импортом, или рабочего, чью работу только что сменила операция в Бангалоре.","Глобализация хороша для финансиста, но она не так уж хороша для фермера, уничтоженного более дешевым импортом, или для рабочего, чья работа только что была заменена операцией в Бангалоре."
Text 2,s4,And the same is happening to China now.,И с Китаем происходит то же самое. ,То же самое теперь касается и Китая.,То же самое происходит с Китаем сейчас.,И то же самое сейчас происходит с Китаем.,То же самое происходит сейчас и с Китаем.
Text 2,s5,"Much though its critics may wish China to fall at this hurdle by a string of scandals about its products, it has to be said that it is unlikely to happen.","Хотя злопыхатели и желают Китаю погрязнуть в череде скандалов, связанных с низким качеством продукции, надо признать, что это вряд ли произойдет. ","Как бы его критики не хотели, чтобы экономика Китая пострадала из-за череды скандалов, связанных с его продукцией, нужно признать, что это вряд ли произойдет.","Хотя его критики могут пожелать, чтобы Китай попал на это препятствие вследствие ряда скандалов, связанных с его продукцией, надо сказать, что это вряд ли произойдет.","Несмотря на то, что его критики могут желать, чтобы Китай столкнулся с этим препятствием из-за череды скандалов, связанных с его продукцией, следует сказать, что это маловероятно.","Хотя его критики могут желать, чтобы Китай пал на этом препятствии из-за череды скандалов, связанных с его продукцией, нужно сказать, что это вряд ли произойдет."
Text 2,s6,"The rush of bad news may slow the rise in consumer demand temporarily and even persuade some retail companies to have second thoughts about sourcing in Asia, but on the wider stage it will do little to stop China's manufacturing growth.","Поток плохих новостей может временно замедлить рост интереса со стороны потребителей и даже отпугнуть ряд предприятий розничной торговли от закупок в Азии, но в целом он мало повлияет на рост промышленности в Китае. ","Поток плохих новостей может временно замедлить рост потребительского спроса и даже убедить некоторые компании розничной торговли отказаться от закупок в Азии, однако в более широком плане он мало что изменит для роста производства в Китае.","Шум плохих новостей может временно замедлить рост потребительского спроса и даже убедить некоторые розничные компании подумать о закупках в Азии, но на более широком этапе это мало сделает, чтобы остановить рост промышленности Китая.","Поток плохих новостей может временно замедлить рост потребительского спроса и даже убедить некоторые розничные компании передумать о поиске поставщиков в Азии, но в более широком смысле это мало что сделает для остановки роста производства в Китае.","Поток плохих новостей может временно замедлить рост потребительского спроса и даже убедить некоторые компании розничной торговли задуматься о закупках в Азии, но в более широком плане это мало что сделает для того, чтобы остановить рост производства в Китае."
Text 2,s7,"The West goes there particularly for clothing and toys, but go round Asia and every store is full of Chinese-made white goods.","Запад в первую очередь интересуют игрушки и одежда, но в любом азиатском магазине полно крупной бытовой техники китайского производства. ","Основа китайского импорта в западные страны - это одежда и игрушки, но стоит изучить магазины в других странах Азии, и вы увидите, что они полны бытовой техники китайского производства.","Запад идет туда, конечно, за одеждой и игрушками, но идут по Азии, и каждый магазин полон белых товаров китайского производства.","Запад ездит туда, в частности, за одеждой и игрушками, но если объехать Азию, то в каждом магазине полно бытовой техники китайского производства.","Запад едет туда, прежде всего, за одеждой и игрушками, но стоит объехать Азию, и каждый магазин будет полон бытовой техники китайского производства."
Text 2,s8,As with Japan before it - and with similar single-minded determination - the country is moving upmarket.,"Китай, как и Япония ранее, поднимает планку, и делает это с такой же целеустремленностью. ","Как и в случае с Японией до этого, Китай целеустремленно движется в верхние эшелоны рыночной экономики.",Как и Япония до нее - и с аналогичной единомышленной решимостью - страна движется вверх.,Как и в случае с Японией до этого - и с такой же целеустремленностью - страна движется вверх по рынку.,Как и Япония до нее - и с такой же целеустремленностью - страна движется вверх по рынку.
Text 2,s9,"Next will come cars, engines and aircraft.","На очереди автомобили, двигатели и самолеты.","В скором будущем - автомобили, двигатели и самолеты.","Далее будут автомобили, двигатели и самолеты.","Далее будут автомобили, двигатели и самолеты.","Следующими будут автомобили, двигатели и самолеты."
Text 3,s1,Researchers have discovered the hidden laboratory used by Leonardo da Vinci for studies of flight and other pioneering scientific work.,"Ученые обнаружили потайную лабораторию, в которой Леонардо да Винчи изучал механику полета и написал новаторские работы по другим темам. ","Исследователи обнаружили скрытую лабораторию, которую Леонардо да Винчи использовал для изучения полета и других новаторских научных идей.","Исследователи обнаружили скрытую лабораторию, используемую Леонардо да Винчи для изучения полета и других пионерских научных работ.","Исследователи обнаружили скрытую лабораторию, которую Леонардо да Винчи использовал для изучения полета и других новаторских научных работ.","Исследователи обнаружили скрытую лабораторию, использовавшуюся Леонардо да Винчи для изучения полетов и других новаторских научных работ."
Text 3,s2,"The workshop rooms, located between the Institute for Military Geography and the Basilica, contain frescos painted by Leonardo that have ""impressive resemblances"" to other examples of his experimental work.","В мастерских между Институтом военной географии и базиликой были обнаружены фрески, написанные рукой Леонардо. Они имеют ""поразительное сходство"" с его другими экспериментальными работами. ","Помещения мастерской, расположенной между Институтом Военной Географии и Базиликой, содержат фрески руки Леонардо, которые имеют ""впечатляющее сходство"" с другими образцами его экспериментальной работы.","В мастерских, расположенных между Институтом военной географии и базиликой, содержатся фрески, нарисованные Леонардо, которые имеют «впечатляющие сходства» с другими примерами его экспериментальной работы.","В мастерских, расположенных между Институтом военной географии и Базиликой, есть фрески, написанные Леонардо, которые имеют ""впечатляющее сходство"" с другими образцами его экспериментальной работы.","Комнаты мастерской, расположенные между Институтом военной географии и Базиликой, содержат фрески, написанные Леонардо, которые имеют ""впечатляющее сходство"" с другими примерами его экспериментальной работы."
Text 3,s3,"Leonardo's use of the rooms was referred to in letters written by Pietro di Novellara and they were cited by Giorgio Vasari in his 16th-century biography, Lives of the Artists.","Тот факт, что Леонардо работал в этих помещениях, был зафиксирован в письмах Пьетро ди Новеллара. В XVI веке Джорджо Вазари цитировал эти письма в книге ""Жизнеописания наиболее знаменитых живописцев, ваятелей и зодчих"".","Об использовании этих комнат Леонардо упоминалось в письмах Пьетро ди Новеллара, а Джорджо Вазари ссылался на них в своей биографии 16-го века ""Жизнеописания наиболее знаменитых живописцев, ваятелей и зодчих"".","Использование комнат Леонардо было упомянуто в письмах, написанных Пьетро ди Новеллара, и они были цитированы Джорджо Вазари в его биографии XVI века, Жизнь художников.","Использование Леонардо комнат упоминалось в письмах, написанных Пьетро ди Новеллара, и они были процитированы Джорджо Вазари в его биографии 16-го века ""Жизни художников"".","Об использовании этих комнат Леонардо упоминалось в письмах Пьетро ди Новеллара, а Джорджо Вазари ссылался на них в своей биографии XVI века ""Жизнь художников""."
Text 3,s4,"""The finds are particularly interesting as they will help us to understand the context in which Leonardo was working in these rooms exactly 500 years ago,"" said Professor Alessandro Vezzosi, a Leonardo scholar.","""Эти находки крайне интересны, поскольку помогут нам понять контекст, в котором Леонардо работал здесь ровно 500 лет назад"", — заявил профессор Алессандро Веццози, который изучает творчество Леонардо. ","""Эти находки особенно интересны тем, что они помогут нам понять, как именно Леонардо работал в этих помещениях ровно 500 лет назад"", - отметил специалист по Леонардо, профессор Алессандро Веццози.","""Находки особенно интересны, поскольку они помогут нам понять контекст, в котором Леонардо работал в этих комнатах 500 лет назад"", - сказал профессор Алессандро Везоси, ученый Леонардо.","""Находки особенно интересны, поскольку они помогут нам понять контекст, в котором Леонардо работал в этих комнатах ровно 500 лет назад"", — сказал профессор Алессандро Веццози, исследователь Леонардо.","""Находки особенно интересны, поскольку они помогут нам понять контекст, в котором Леонардо работал в этих комнатах ровно 500 лет назад"", - сказал профессор Алессандро Веццози, исследователь творчества Леонардо."
Text 3,s5,"The Tuscan-born scientist, painter, philosopher and poet was aged 51 when he returned to Florence in 1503 after many years in Milan, where he already had established his reputation, and a period of extended travel.","Ученый, художник, философ и поэт родился в Тоскане. В 1503 году, когда Леонардо исполнился 51 год, он возвратился во Флоренцию. До этого он много лет жил в Милане, где и приобрел известность, а еще много путешествовал. ","В 1503 году, когда родившемуся в Тоскане Леонардо был 51 год, он вернулся во Флоренцию после периода длительных путешествий и многих лет в Милане, где он уже зарекомендовал себя в качестве ученого, художника, философа и поэта.","Тосканский ученый, живописец, философ и поэт в возрасте 51 года вернулся во Флоренцию в 1503 году после многих лет в Милане, где он уже установил свою репутацию, и период длительных путешествий.","Тосканскому ученому, художнику, философу и поэту был 51 год, когда он вернулся во Флоренцию в 1503 году после многих лет в Милане, где он уже зарекомендовал себя, и периода длительных путешествий.","Ученому, художнику, философу и поэту тосканского происхождения был 51 год, когда он вернулся во Флоренцию в 1503 году после долгих лет жизни в Милане, где он уже завоевал свою репутацию, и периода длительных путешествий."
Text 3,s6,His first spell in Florence came when he was 17 and became a member of the painters' guild.,"Первый раз он приехал во Флоренцию в возрасте 17 лет, когда стал членом гильдии художников. ","Впервые он попал во Флоренцию, когда ему было 17 лет и он стал членом гильдии художников.","Его первое заклинание во Флоренции произошло, когда ему было 17 лет и он стал членом гильдии художников.","Его первое пребывание во Флоренции произошло, когда ему было 17 лет, и он стал членом гильдии художников.","Впервые он попал во Флоренцию, когда ему было 17 лет и он стал членом гильдии живописцев."
Text 3,s7,The rooms he took in the 16th century were in a religious house run by monks from the order of the Servi di Maria in a part of the monastery set aside for renting to lay people as guestrooms.,"Комнаты, где он проживал в XVI веке, располагались в обители ордена Сервитов. Монахи выделили часть монастыря для сдачи внаем постояльцам-мирянам. ","Помещения, которые он снял в 16 веке, находились в религиозном доме под управлением монахов из Ордена служителей Девы Марии на территории монастыря, предназначенной для сдачи в аренду мирянам в качестве комнат для гостей.","Номера, которые он взял в XVI веке, находились в религиозном доме, управляемом монахами ордена Servi di Maria в части монастыря, выделенного для аренды мирянам в качестве гостиных.","Комнаты, которые он снял в 16 веке, находились в религиозном доме, которым управляли монахи из ордена Серви ди Мария, в части монастыря, предназначенной для сдачи в аренду мирянам в качестве комнат для гостей.","Комнаты, которые он снимал в XVI веке, находились в религиозном доме, которым управляли монахи из ордена Серви ди Мария, в части монастыря, отведенной для сдачи в аренду мирянам в качестве комнат для гостей."
Text 3,s8,Other notable figures who would take accommodation in the same monastery later included Andrea del Sarto and Franciabigio.,Позднее в том же монастыре останавливались Андреа дель Сарто и Франчабиджо. ,В число других известных постояльцев этих комнат в монастыре позже вошли Андреа дель Сарто и Франчабиджо.,"Другие выдающиеся фигуры, которые впоследствии разместились в том же монастыре, включали Андреа дель Сарто и Франсиабиджио.","Среди других известных деятелей, которые позже поселились в том же монастыре, были Андреа дель Сарто и Франчабиджо.","Среди других известных личностей, которые позже поселились в этом же монастыре, были Андреа дель Сарто и Франчабиджо."
Text 3,s9,Leonardo's second sojourn in Florence would last three years.,Во второй раз Леонардо пробыл во Флоренции три года.,Второе пребывание Леонардо во Флоренции продлилось три года.,Второе пребывание Леонардо во Флоренции продлится три года.,Второе пребывание Леонардо во Флоренции продлилось три года.,Второе пребывание Леонардо во Флоренции продлится три года.
