Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = DeepL
Text 2,s1,One thing that journalism teaches you over the years is that events or incidents are rarely important in themselves.,"Одна річ, якої вчить журналістика роками, — це те, що події чи випадки рідко бувають важливими самі по собі. ",Багато років роботи журналістом навчили мене одному: події рідко важливі самі по собі.,"Одна річ, яку журналістика навчає вас протягом багатьох років, полягає в тому, що події або інциденти рідко є важливими самі по собі.","Журналістика вчить вас роками, що події чи інциденти рідко важливі самі по собі.","Одна річ, якої вчить журналістика з роками - це те, що події чи інциденти рідко бувають важливими самі по собі."
Text 2,s2,It is when they fit in with general assumptions and trends that they take on meaning.,"Саме тоді, коли вони вписуються в загальні припущення і тенденції, вони набувають сенсу. ","Вони набувають значення тільки тоді, коли збігаються із загальними припущеннями й тенденціями.","Саме тоді, коли вони відповідають загальним припущенням і тенденціям, вони набувають сенсу.","Саме тоді, коли вони відповідають загальним припущенням і тенденціям, вони набувають значення.","Саме тоді, коли вони вписуються в загальні припущення і тенденції, вони набувають сенсу."
Text 2,s3,Globalisation is fine for the financier but it doesn't feel so good to the farmer wiped out by lower-cost imports or the worker whose job has just been replaced by an operation in Bangalore.,"Глобалізація — це добре для фінансиста, але не так добре для фермера, якого знищує дешевший імпорт, або для робітника, чию роботу щойно замінили на технологічну операцію в Бангалорі.","Фінансист задоволений глобалізацією, але вона не подобається фермеру, який втратив бізнес через дешевший імпорт товарів, або працівнику, чию роботу замінило підприємство в Бенгалуру.","Глобалізація добре для фінансиста, але вона не відчуває себе так добре для фермера, зруйнованого дешевим імпортом, або для робітника, чия робота тільки що була замінена операцією в Бангалорі.","Глобалізація підходить для фінансиста, але вона не дуже приємна для фермера, знищеного дешевшим імпортом, або робітника, чию роботу щойно замінили на роботу в Бангалорі.","Глобалізація - це добре для фінансиста, але це не так добре для фермера, якого знищує дешевший імпорт, або для робітника, чию роботу щойно замінили на операцію в Бангалорі."
Text 2,s4,And the same is happening to China now.,І те ж саме відбувається зараз з Китаєм. ,А тепер те ж саме відбувається й з Китаєм.,Те ж саме зараз відбувається з Китаєм.,І те ж саме зараз відбувається з Китаєм.,І те ж саме зараз відбувається з Китаєм.
Text 2,s5,"Much though its critics may wish China to fall at this hurdle by a string of scandals about its products, it has to be said that it is unlikely to happen.","Хоча його критики можуть бажати, щоб Китай не подолав цю перешкоду через низку скандалів, пов'язаних з його продукцією, слід сказати, що це навряд чи станеться. ","Як би палко не бажали його критики, аби Китай спіткнувся на цій перешкоді через низку скандалів навколо його товарів, варто зазначити, що ймовірність цього невисока.","Хоча критики можуть сподіватися, що Китай впаде на цю перешкоду через ряд скандалів щодо своєї продукції, треба сказати, що це малоймовірно.","Незважаючи на те, що його критики бажають Китаю подолати цю перешкоду через серію скандалів щодо його продуктів, слід сказати, що це навряд чи станеться.","Хоча його критики можуть бажати, щоб Китай впав на цій перешкоді через низку скандалів, пов'язаних з його продукцією, слід сказати, що це навряд чи станеться."
Text 2,s6,"The rush of bad news may slow the rise in consumer demand temporarily and even persuade some retail companies to have second thoughts about sourcing in Asia, but on the wider stage it will do little to stop China's manufacturing growth.","Потік поганих новин може тимчасово сповільнити зростання споживчого попиту й навіть переконати деякі роздрібні компанії відмовитися від закупівлі товарів в Азії, але в більш широкому сенсі це не зможе зупинити зростання обсягів виробництва в Китаї. ","Потік поганих новин може тимчасово сповільнити зростання споживацького попиту та навіть переконати деякі роздрібні компанії змінити думку щодо постачання товарів з Азії, але в ширшій перспективі це навряд чи зупинить промислове виробництво Китаю.","Поштовх поганих новин може тимчасово уповільнити зростання споживчого попиту і навіть переконати деякі роздрібні компанії подумати про закупівлю в Азії, але на більш широкому етапі це мало зробить, щоб зупинити зростання виробничого виробництва Китаю.","Наплив поганих новин може тимчасово уповільнити зростання споживчого попиту і навіть переконати деякі компанії роздрібної торгівлі задуматися про закупівлю в Азії, але в ширшому плані це мало зупинить зростання виробництва в Китаї.","Потік поганих новин може тимчасово сповільнити зростання споживчого попиту і навіть переконати деякі роздрібні компанії передумати про закупівлю товарів в Азії, але в більш широкому сенсі це не зможе зупинити зростання виробництва в Китаї."
Text 2,s7,"The West goes there particularly for clothing and toys, but go round Asia and every store is full of Chinese-made white goods.","Захід шукає тут, зокрема, одяг та іграшки, але проїдьтеся Азією — кожний магазин завалений побутовою технікою китайського виробництва. ","Туристи із Заходу їдуть туди переважно за одягом й іграшками, але кожен магазин в Азії забитий виготовленою в Китаї побутовою технікою.","Захід їде туди, можливо, за одягом і іграшками, але йдіть по Азії, і кожен магазин повний китайських білих товарів.","Захід їде туди переважно за одягом та іграшками, але поїдьте в Азію, і кожен магазин повний білої техніки китайського виробництва.","Захід їде туди, зокрема, за одягом та іграшками, але поїдьте по Азії, і кожен магазин завалений побутовою технікою китайського виробництва."
Text 2,s8,As with Japan before it - and with similar single-minded determination - the country is moving upmarket.,Як і Японія до цього — і з такою ж цілеспрямованою рішучістю — країна рухається до продукції вищого сегменту. ,Так само як до цього Японія — і з подібною цілеспрямованою рішучістю — країна просувається у верхні сектори ринку.,Як і Японія перед нею - і з подібною однодумністю - країна рухається вгору.,Як і у випадку з Японією до цього – і з такою ж цілеспрямованою рішучістю – країна рухається до високого ринку.,Як і Японія до неї - і з такою ж цілеспрямованою рішучістю - країна рухається вгору.
Text 2,s9,"Next will come cars, engines and aircraft.","На черзі — автомобілі, двигуни й літаки.","Скоро вона почне виробляти машини, двигуни й літаки.","Далі будуть автомобілі, двигуни і літаки.","Далі будуть машини, двигуни та літаки.","Далі будуть автомобілі, двигуни та літаки."
Text 3,s1,Researchers have discovered the hidden laboratory used by Leonardo da Vinci for studies of flight and other pioneering scientific work.,"Дослідники виявили приховану лабораторію, яку використовував Леонардо да Вінчі для вивчення польотів та інших новаторських наукових робіт. ","Дослідники відкрили таємну лабораторію, яку Леонардо да Вінчі використовував для вивчення польоту й проведення іншої основоположної наукової роботи.","Дослідники виявили приховану лабораторію, яку Леонардо да Вінчі використовував для вивчення польоту та інших новаторських наукових робіт.","Дослідники виявили приховану лабораторію, яку Леонардо да Вінчі використовував для вивчення польотів та іншої новаторської наукової роботи.","Дослідники виявили приховану лабораторію, яку використовував Леонардо да Вінчі для вивчення польотів та інших новаторських наукових робіт."
Text 3,s2,"The workshop rooms, located between the Institute for Military Geography and the Basilica, contain frescos painted by Leonardo that have ""impressive resemblances"" to other examples of his experimental work.","У приміщеннях майстерні, розташованих між Інститутом військової географії й базилікою, зберігаються фрески Леонардо, які мають ""приголомшливу схожість"" з іншими прикладами його експериментальної роботи. ","Майстерні, що знаходяться між Інститутом військової географії та Базилікою, містять фрески, намальовані Леонардо, які із ""дивовижною точністю"" нагадують інші зразки його експериментальних робіт.","Семінари, розташовані між Інститутом військової географії та базилікою, містять фрески, намальовані Леонардо, які мають ""впевнені схожість"" з іншими прикладами його експериментальної роботи.","Кімнати для майстерень, розташовані між Інститутом військової географії та Базилікою, містять фрески, написані Леонардо, які мають ""вражаючу схожість"" з іншими прикладами його експериментальної роботи.","У приміщеннях майстерні, розташованих між Інститутом військової географії та базилікою, зберігаються фрески Леонардо, які мають ""вражаючу схожість"" з іншими прикладами його експериментальної роботи."
Text 3,s3,"Leonardo's use of the rooms was referred to in letters written by Pietro di Novellara and they were cited by Giorgio Vasari in his 16th-century biography, Lives of the Artists.","Про використання приміщень Леонардо згадується в листах, написаних П'єтро ді Новеллара, і на них посилається Джорджо Вазарі у своїй біографії XVI століття ""Життєписи художників"".","Про використання Леонардо цих майстерень згадується в листах, написаних П'єтро ді Новелларою, і в біографії XVI століття ""Життєписи найславетніших живописців, скульпторів та архітекторів"" Джорджо Вазарі.","Використання кімнат Леонардо згадувалося в листах, написаних П'єтро ді Новеллара, і вони були цитовані Джорджо Вазарі в його біографії 16 століття, Життя художників.","Використання кімнат Леонардо згадувалося в листах, написаних П'єтро ді Новеллара, і вони цитувалися Джорджіо Вазарі в його біографії 16-го століття ""Життя художників"".","Про використання кімнат Леонардо згадується в листах, написаних П'єтро ді Новеллара, і на них посилається Джорджо Вазарі у своїй біографії 16 століття ""Життя художників""."
Text 3,s4,"""The finds are particularly interesting as they will help us to understand the context in which Leonardo was working in these rooms exactly 500 years ago,"" said Professor Alessandro Vezzosi, a Leonardo scholar.","""Знахідки є особливо цікавими, оскільки вони допоможуть нам зрозуміти контекст, в якому Леонардо працював у цих кімнатах рівно 500 років тому"", — сказав професор Алессандро Веццозі, дослідник Леонардо. ","""Ці знахідки надзвичайно цікаві, адже вони допоможуть нам зрозуміти контекст, у якому Леонардо працював у цих майстернях рівно 500 років тому"", — зазначив професор-леонардознавець Алессандро Веццозі.","""Висновки особливо цікаві, оскільки вони допоможуть нам зрозуміти контекст, в якому Леонардо працював в цих кімнатах точно 500 років тому"", - сказав професор Алессандро Везосі, учений Леонардо.","""Знахідки особливо цікаві, оскільки вони допоможуть нам зрозуміти контекст, у якому Леонардо працював у цих кімнатах рівно 500 років тому"", — сказав професор Алессандро Веццозі, дослідник Леонардо.","""Знахідки є особливо цікавими, оскільки вони допоможуть нам зрозуміти контекст, в якому Леонардо працював у цих кімнатах рівно 500 років тому"", - сказав професор Алессандро Веццозі, дослідник Леонардо."
Text 3,s5,"The Tuscan-born scientist, painter, philosopher and poet was aged 51 when he returned to Florence in 1503 after many years in Milan, where he already had established his reputation, and a period of extended travel.","Уродженцю Тоскани, вченому, художнику, філософу й поету був 51 рік, коли він повернувся до Флоренції. Це було в 1503 році, після багатьох років життя в Мілані, де він вже встиг зарекомендувати себе, і періоду тривалих подорожей. ","Народженому в Тоскані вченому, художнику, філософу й поету був 51 рік, коли він повернувся до Флоренції у 1503 році після довгого часу, який він прожив у Мілані, де він уже здобув собі репутацію, і тривалого періоду подорожей.","Тосканський вчений, живописець, філософ і поет був у віці 51 року, коли він повернувся до Флоренції в 1503 році після багатьох років в Мілані, де він вже встановив свою репутацію, і період тривалих подорожей.","Вченому, художнику, філософу та поету тосканського походження був 51 рік, коли він повернувся до Флоренції в 1503 році після багатьох років у Мілані, де він уже зарекомендував себе, і періоду тривалої подорожі.","Уродженцю Тоскани вченому, художнику, філософу і поету був 51 рік, коли він повернувся до Флоренції в 1503 році після багатьох років у Мілані, де він вже встиг зарекомендувати себе, і періоду тривалих подорожей."
Text 3,s6,His first spell in Florence came when he was 17 and became a member of the painters' guild.,"Уперше він потрапив до Флоренції, коли йому було 17 років і коли він став членом гільдії художників. ","Він уперше прибув до Флоренції у 17-річному віці, коли став членом гільдії художників.","Його перше заклинання у Флоренції прийшло, коли йому було 17 років і він став членом гільдії художників.","Його перша поїздка у Флоренцію відбулася, коли йому було 17 і він став членом гільдії художників.","Вперше він потрапив до Флоренції, коли йому було 17 років і став членом гільдії художників."
Text 3,s7,The rooms he took in the 16th century were in a religious house run by monks from the order of the Servi di Maria in a part of the monastery set aside for renting to lay people as guestrooms.,"Приміщення, які він займав у XVI столітті, знаходилися в монастирському будинку під керівництвом ченців ордену Серві ді Марія. Будинок розташовувався в частині монастиря, відведеній для здачі в оренду мирянам як гостьових кімнат. ","Кімнати, у яких він жив у XVI столітті, знаходилися в релігійному домі чернечого ордену сервітів у частині монастиря, яка була відведена для здачі житла в оренду для гостей.","Кімнати, які він взяв у XVI столітті, знаходилися в релігійному будинку, керованому ченцями ордена Servi di Maria в частині монастиря, який був виділений для оренди мирянам як гостьові кімнати.","Кімнати, які він зайняв у 16 столітті, були в релігійному будинку, яким керували ченці з ордену Серві ді Марія, у частині монастиря, призначеній для здачі в оренду мирянам як кімнати.","Кімнати, які він зайняв у 16 столітті, знаходилися в монастирському будинку, яким керували ченці ордену Серві ді Марія в частині монастиря, відведеній для здачі в оренду мирянам в якості гостьових кімнат."
Text 3,s8,Other notable figures who would take accommodation in the same monastery later included Andrea del Sarto and Franciabigio.,"Серед інших видатних діячів, які пізніше проживали в цьому ж монастирі, були Андреа дель Сарто та Франчіабіджо. ","Серед інших видатних людей, які винаймали кімнати в цьому монастирі, пізніше були Андреа дель Сарто та Франчабіджо.","Інші помітні фігури, які пізніше розмістилися в тому ж монастирі, включали Андреа дель Сарто і Франсіабіджіо.","Серед інших відомих діячів, які пізніше оселилися в тому ж монастирі, були Андреа дель Сарто та Франчіабіго.","Серед інших видатних діячів, які пізніше проживали в цьому ж монастирі, були Андреа дель Сарто та Франчіабіджо."
Text 3,s9,Leonardo's second sojourn in Florence would last three years.,Друге перебування Леонардо у Флоренції тривало три роки.,Вдруге Леонардо жив у Флоренції протягом трьох років.,Другий перебування Леонардо у Флоренції триватиме три роки.,Друге перебування Леонардо у Флоренції триватиме три роки.,Друге перебування Леонардо у Флоренції триватиме три роки.
